c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|amt|profit
Travers|Shawn|Mount Olive|Franklin|540|4824.64|-22373.02
Valdez|Charles|Maple Grove|Five Forks|1399|733.85|-10333.35
Villanueva|Paul|Mechanicsburg|Farmington|1077|954.29|-7742.86
Walton|Cedric|Hamilton|Mount Olive|164|1978.62|-3569.70
Ward|Scott|Riverside|Enterprise|1689|9046.85|-14860.55
Watson|Alfred|Jamestown|Union|1186|2852.45|-6438.45
Whitaker|Richard|Oak Ridge|Glendale|2158|2239.93|-5532.44
Wiles|Jeffrey|Cedar Grove|Bethel|489|109.44|-8395.15
Wilson|Joseph|Warwick|Bunker Hill|2083|128.66|-6901.74
Woods|NULL|Fairfield|Ashland|1572|1490.43|-4264.59
Wynne|Joanne|Sugar Hill|Pleasant Grove|1004|1490.33|-8000.14
Young|Althea|Jamestown|Lakeview|634|2760.16|-16172.15
Young|Althea|Jamestown|Riverside|1289|0.00|-2497.16
