c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|extended_price|extended_tax|list_price
NULL|NULL|Georgetown|Forest Hills|195266|14065.41|432.04|28953.13
NULL|Roy|Georgetown|Riverside|200033|38525.15|1584.09|54651.99
NULL|Barbara|Westgate|Crossroads|202167|29774.57|759.89|57217.71
NULL|Diane|Five Points|Mount Zion|203347|36587.99|494.65|66098.94
NULL|Andrew|Shiloh|Mount Zion|205712|18576.19|593.23|39242.39
NULL|NULL|Mount Pleasant|Greenville|206301|22861.83|1045.30|48022.73
NULL|NULL|Waterloo|Spring Hill|206784|17965.93|689.25|29316.46
NULL|NULL|Littleton|Walnut Grove|209023|20841.54|1106.46|57051.42
NULL|Norman|Jamestown|Farmington|218063|21778.15|811.33|46935.03
NULL|NULL|Hillcrest|Valley View|218569|20608.21|1077.14|42824.59
NULL|Douglas|Crossroads|Sunnyside|218776|13991.57|480.95|39642.78
NULL|NULL|Summit|Concord|224470|16753.12|781.09|42501.34
NULL|Joshua|Five Points|Hopewell|227114|15509.50|560.16|47045.57
NULL|NULL|Edgewood|Belmont|230383|18252.32|805.72|35147.68
NULL|NULL|Franklin|Floyd|230648|18347.71|530.71|33093.43
NULL|Joseph|Lakewood|Mount Olive|231104|36907.62|1354.76|62079.89
NULL|Marti|Greenwood|Providence|231861|14596.26|483.55|38253.54
NULL|NULL|Deerfield|Lakeside|232906|21387.51|810.79|28657.64
NULL|NULL|Lakeside|Jackson|235093|12231.85|380.29|45651.44
Aaron|Guy|Lakeside|Mount Pleasant|210815|17578.87|809.71|43572.79
Abbott|Joseph|Greenfield|Midway|62751|26919.52|1116.58|57080.40
Abbott|Harriet|Wesley|Forest Hills|84405|22861.50|1369.56|44009.90
Abney|Louis|Gladstone|Green Acres|140967|19446.55|877.95|32461.55
Acevedo|David|Clinton|Shady Grove|131505|38482.28|1224.88|75008.94
Acosta|Johnnie|Centerville|Enterprise|69183|11146.93|215.50|17512.59
Acosta|David|Harmony|Bunker Hill|112259|23555.67|1186.06|38964.27
Adair|Evan|Blanchard|New Hope|117449|15560.75|571.23|38387.23
Adams|Genevieve|Enterprise|Union Hill|109910|38112.60|2078.45|68698.50
Adams|Joyce|Newtown|Concord|166181|11300.17|395.01|32793.82
Adams|John|Marion|Oak Ridge|206733|32377.89|1224.72|72590.31
