c_last_name|c_first_name|c_salutation|c_preferred_cust_flag|ss_ticket_number|cnt
Garcia|Kenny|Dr.|Y|197122|16
Garcia|Marie|Ms.|N|224067|15
Garcia|Vera|Dr.|Y|227613|15
Gardner|Wanda|Ms.|Y|182977|15
German|Katie|Dr.|Y|33536|15
Gifford|Cathy|Ms.|Y|188658|15
Gilbreath|Andrea|Mrs.|N|209039|15
Gill|Joshua|Sir|N|230910|15
Godwin|Sharon|Ms.|Y|220509|16
Gomez|Amanda|Mrs.|N|22490|16
Gomez|Brandon|Sir|N|160457|15
Goodwin|Fred|Mr.|N|93828|16
Gordon|Roger|Sir|N|88367|15
Gorham|Jason|Mr.|Y|68420|15
Graham|Brian|Mr.|Y|13629|15
Graham|Jerry|Sir|NULL|152656|15
Graham|Tandra|Mrs.|N|103566|15
Gray|Cole|Mr.|Y|30280|16
Gray|Jeffery|Mr.|Y|154258|15
Gray|Marshall|Dr.|Y|138913|15
Grayson|Terry|Mr.|N|130480|16
Green|Michael|Dr.|Y|143191|15
Green|Robert|Mr.|Y|73965|16
Greene|Willie|Sir|N|85413|15
Griffin|Martha|Dr.|Y|82841|16
Gutierrez|Ashley|Dr.|N|209948|16
Guzman|Mason|Mr.|N|235019|15
Haley|Henry|Sir|N|141619|16
Hamilton|Alex|Mrs.|N|23084|15
Hammonds|Richelle|Dr.|N|135423|16
Hammonds|Wendy|Miss|N|107817|15
Handy|John|Mr.|N|50651|15
Harris|Charles|Dr.|N|61618|15
Harris|Ezekiel|Sir|N|142043|15
Harris|Karmen|Ms.|Y|73434|15
Harris|Sam|Sir|N|61242|15
Harrison|Holly|Mrs.|N|197654|15
Harrison|Michal|Mr.|Y|209687|15
Hart|Carroll|Mr.|Y|165744|16
Harwood|James|Mr.|Y|197429|16
Hayes|Johnnie|Sir|N|57732|16
Haynes|Jennifer|Dr.|Y|203136|15
Hernandez|Kyle|Dr.|Y|59668|16
Hernandez|Melonie|Dr.|N|120302|15
Hewitt|Michelle|Dr.|Y|155492|16
Hill|Lorena|Miss|N|41444|16
Hobbs|Richard|Mr.|Y|24027|15
Holland|Melinda|Mrs.|Y|76237|15
Holt|James|Dr.|N|110248|15
Huffman|Laura|Mrs.|Y|225321|15
Hughes|Martin|Dr.|Y|178631|15
Isom|Jessica|Dr.|Y|193785|15
Jackman|Ida|Dr.|Y|11753|16
Jackson|Jack|Sir|N|228975|15
Jacobs|Kathy|Ms.|Y|66259|15
Jaramillo|NULL|Ms.|NULL|107981|15
Jarman|Evangeline|Miss|Y|233260|15
Jensen|Roscoe|Mr.|Y|10819|16
Johnson|Beverly|Dr.|N|7637|15
Johnson|Glenn|Dr.|N|190780|15
Johnson|Ola|Mrs.|N|87442|15
Johnson|Olen|Mr.|N|12862|16
Johnson|Ramon|Dr.|Y|72434|16
Johnson|Terri|Miss|N|14075|15
Johnston|Walter|Mr.|Y|219689|15
Joseph|Ramon|Mr.|N|7856|16
Joyce|NULL|Ms.|NULL|154184|15
Kane|Phyllis|Mrs.|Y|159162|15
Kay|Robert|Sir|Y|22999|15
Keefer|Stephen|Sir|N|94450|15
Kelley|Janet|Dr.|N|209622|16
Kemp|Wanda|Dr.|Y|119906|15
Kennedy|David|Sir|Y|114462|15
King|Frank|Mr.|Y|100779|15
King|Thomas|Sir|Y|62796|15
Kinney|Angelica|Mrs.|N|192978|15
Kline|Donald|Mr.|N|161957|16
Kraus|Roger|Dr.|Y|117604|15
Kruse|Jose|Dr.|N|114533|15
Lacy|Mina|Miss|Y|227155|15
Lancaster|David|Mr.|Y|214962|15
Landry|Kaylene|Dr.|Y|86610|15
Larsen|Russell|Sir|N|154877|15
Law|Horace|Mr.|Y|157178|16
Lawson|Amanda|Ms.|Y|61212|16
Ledbetter|Dena|Dr.|N|135044|15
Lee|Edward|Mr.|N|184034|16
Leonard|Debra|Dr.|Y|158368|15
Levin|Robert|Dr.|N|231293|16
Levy|Marjorie|Ms.|Y|24429|15
Lewis|Annie|Ms.|N|131418|16
Lewis|Bradley|Sir|Y|182566|15
Lewis|Jerry|Mr.|Y|233447|15
Light|Robert|Mr.|N|90021|15
Long|Bradley|Sir|Y|11712|15
Lopez|Randee|Miss|Y|9979|15
Lopez|Theresa|Miss|N|169110|15
Low|Timothy|Sir|N|10488|15
Lowe|Elmer|Sir|Y|133003|16
Lowery|Marie|Ms.|N|10643|15
Macias|Roger|Sir|N|82746|16
Mack|Bonnie|Miss|N|103028|15
Mann|Russell|Sir|Y|29737|15
Manning|David|Dr.|Y|147404|15
Mansfield|Paul|Dr.|Y|5723|15
Marks|Duane|Dr.|N|34432|15
Marrero|Susanna|Mrs.|N|102535|15
Marsh|Gary|Sir|N|6580|15
Martin|Caren|Ms.|N|169732|15
Martin|Lena|Mrs.|N|6954|15
Martin|Steve|Mr.|Y|72094|15
Martinez|Henry|Mr.|Y|134637|15
Martino|NULL|Ms.|NULL|61890|15
Mason|Richard|Sir|N|27500|16
Matos|Josephine|Ms.|Y|128283|16
Mccallister|Andrew|Ms.|Y|122178|16
Mcconnell|Scott|Mr.|Y|78305|15
Mccormick|Joanne|Ms.|N|236985|15
Mcdonald|Araceli|Ms.|Y|121343|16
Mcintyre|Lee|Sir|Y|229633|16
Mcswain|Virgil|Mr.|N|71937|16
Merrill|Ming|Miss|Y|85806|16
Meyer|William|Sir|Y|53235|15
Milam|Gwendolyn|Miss|N|51944|15
Miller|Dennis|Dr.|Y|137781|15
Miller|Georgia|Ms.|Y|40740|15
Miller|Larry|Sir|N|233614|15
Miller|Marshall|Dr.|N|171497|16
Miller|Nancy|Mrs.|Y|82671|15
Miller|Robert|Sir|Y|42361|16
Mitchell|Cristobal|Mr.|N|67082|15
Monk|NULL|Dr.|NULL|213814|15
Montgomery|Julie|Miss|N|17471|15
Moreland|John|Mr.|Y|37985|15
Morgan|Betty|Dr.|N|90306|16
Morris|John|Dr.|Y|214378|15
Morrow|Annette|Dr.|N|68649|16
Mulkey|Evette|Miss|Y|70472|15
Mulligan|Mark|Sir|Y|184598|15
Myers|Christina|Miss|N|160380|15
Naranjo|Barbara|Mrs.|N|45938|15
Neeley|Stephanie|Mrs.|Y|216299|16
Nesbitt|Andrew|Miss|N|185257|16
Newman|Herschel|Mr.|Y|3829|16
Norfleet|Ethel|Miss|N|14366|15
Odell|Lona|Ms.|Y|160018|15
Odum|David|Dr.|N|86314|15
Ohara|Ronald|Dr.|Y|142825|15
Olds|Stephen|Dr.|Y|206275|15
Olsen|Ruben|Sir|Y|29076|15
Oneill|Thomas|Mr.|Y|93473|16
Oneill|Thomas|Mr.|Y|188154|15
Osborn|Lena|Miss|Y|226949|15
Outlaw|Valerie|Dr.|N|139286|15
Palacios|Alma|Miss|Y|136540|16
Parker|Kari|Ms.|N|67553|15
Payne|Warren|Dr.|Y|180016|16
Peace|Carlos|Sir|N|203823|15
Peck|Jose|Dr.|N|100636|15
Pederson|Matthew|Mr.|Y|152234|15
Perez|Harold|Mr.|N|6311|16
Perez|Sheri|Ms.|Y|157585|16
Perkins|Jill|Miss|Y|145614|15
Perry|Sarah|Ms.|Y|100885|15
Phelan|Micheal|NULL|N|118503|15
Phelps|Marco|Dr.|N|86494|15
Phillips|Judith|Mrs.|N|155042|16
Pinto|Charles|Sir|N|932|16
Pitts|Marissa|Dr.|N|114581|15
Poirier|Marine|Miss|N|11423|15
Pool|Sylvester|Sir|N|213306|16
Powell|Robert|Sir|Y|185862|15
Price|Florence|Ms.|Y|17220|15
Price|Paul|Sir|Y|103985|15
Price|Reginald|Sir|N|123793|15
Pritchett|Cecil|Mr.|N|38968|15
Ramirez|Lee|Sir|N|234584|15
Redden|Edgar|Sir|N|48534|16
Reece|Jimmy|Sir|N|166493|15
Reyes|NULL|Ms.|Y|83162|15
Rice|Sherry|Ms.|Y|202456|15
Richards|Marilyn|Dr.|N|177798|15
Richardson|Alice|Ms.|N|43255|16
Rios|John|Dr.|Y|138605|15
Ritchie|Terrell|Dr.|N|174749|15
Rivera|Gary|Dr.|Y|24449|15
Rivera|Kate|Ms.|Y|204524|15
Roark|Kenneth|Mr.|Y|167963|15
Roberson|Suzanne|Mrs.|Y|41652|15
Roberts|Candice|Dr.|Y|111855|16
Roberts|Jennifer|Miss|Y|141296|15
Roberts|May|Ms.|N|209690|15
Robinson|Gary|Mr.|Y|87081|15
Robinson|Robert|Mr.|Y|57177|15
Robinson|Sara|Mrs.|N|190406|16
Rodriguez|Linda|Ms.|N|209909|15
Rodriguez|Marjorie|Ms.|N|83591|15
Roldan|Dorothy|Mrs.|N|9370|16
Roman|Jimmie|Dr.|N|221049|15
Ross|Rachael|Mrs.|N|106042|15
Rowe|Keith|Dr.|Y|145862|15
Roy|Betty|Mrs.|N|36106|15
Russell|Carl|Sir|N|190517|16
Russell|Larry|Dr.|Y|15209|16
Salter|Antonio|Miss|N|27497|15
Sampson|Helen|Mrs.|Y|81717|15
Sanders|David|Sir|N|95107|16
Sanders|Dustin|Mr.|N|20319|15
Sanford|Ronald|Sir|Y|211947|16
Schneider|Marvin|Mr.|Y|80017|15
Scott|Adam|Mrs.|Y|13944|15
Scott|Gilbert|Dr.|N|186743|15
Scott|Michael|Mr.|N|104162|16
Seidel|Wilma|NULL|NULL|198108|15
Self|Harry|Sir|Y|102208|16
Sharp|Sondra|Dr.|Y|206153|15
Shelton|James|Dr.|N|18103|15
Shelton|Rex|Mr.|Y|53510|15
Sheppard|Joseph|Dr.|N|55721|16
Shuler|Joseph|Sir|Y|57224|15
Sims|Fern|Dr.|N|175233|15
Sims|John|Dr.|Y|113923|16
Smith|Dalene|Ms.|Y|143125|16
Smith|Gerald|Dr.|Y|87759|15
Smith|Herbert|Dr.|Y|238646|15
Smith|Joanne|Miss|Y|34335|15
Smith|Ralph|Sir|N|87132|15
Smith|Sara|Miss|Y|7453|16
Smith|Steven|Sir|Y|25132|15
Smith|Terry|Dr.|N|16945|16
Snell|Robert|Mr.|Y|237726|15
Snyder|Harry|Mr.|N|237793|15
Spencer|Alfred|Mr.|N|159308|16
Stanton|Eric|Dr.|N|116291|15
Stephens|Alma|Ms.|N|196929|16
Stephens|Donna|Ms.|N|151844|15
Stevens|Everett|Mr.|Y|160909|15
Stevens|Micheal|Dr.|Y|38659|16
Stevenson|Dan|Mr.|Y|67850|15
Stewart|Amanda|Mrs.|Y|145235|15
Stewart|Pamela|Mrs.|N|88160|16
Stowe|Teresa|Miss|N|64714|15
Street|Barry|Sir|N|232396|15
Sullivan|Amy|Dr.|N|166225|15
Swain|Laura|Ms.|Y|36774|15
Taylor|Heather|Dr.|Y|8049|15
Taylor|Karen|Dr.|N|29777|16
Taylor|Robert|Dr.|Y|37700|15
Thomas|Barbara|Dr.|N|172596|15
Thomas|Hazel|Ms.|Y|174853|16
Thomas|Jeffrey|Dr.|N|115846|15
Thomas|Nichole|Miss|Y|200721|16
Thomas|Rebecca|Mrs.|N|80953|15
Thompson|Eleanor|Dr.|Y|126349|15
Thompson|Melissa|Dr.|Y|162831|15
Thompson|Ruth|Mrs.|N|158091|15
Tilley|Jane|Mrs.|Y|45378|15
Tinsley|Charlie|Dr.|N|23881|16
Tolbert|Emily|Miss|Y|40132|16
Tolley|Leo|Mr.|N|154182|15
Tompkins|Charlotte|NULL|NULL|197857|15
Torres|Jason|Dr.|Y|224|15
Toth|Luis|Sir|Y|113792|15
Townsend|Bonnie|Dr.|Y|211674|15
Townsend|Michelle|Mrs.|N|39872|15
Treadwell|Roberto|Sir|N|104915|16
Turner|Marjorie|Mrs.|N|65289|15
Vanhorn|Linda|Mrs.|N|134112|16
Vargas|Charles|Dr.|N|79536|15
Walker|Carolyn|Mrs.|N|157430|16
Walker|Charles|Sir|Y|186002|15
Walker|Donald|Sir|N|88588|15
Walker|Jose|Sir|N|189670|16
Walter|Pam|Dr.|Y|112910|15
Warren|Brian|Dr.|Y|15877|15
Watson|Tina|Ms.|Y|120030|16
Webb|Gloria|Ms.|N|65663|15
Weber|Adeline|Miss|N|11061|15
West|Rachel|Dr.|Y|138384|16
Wetzel|Bebe|Dr.|Y|82518|16
Wheeler|Lee|Dr.|N|27440|15
White|Diane|Dr.|N|82960|16
Whitehead|Magan|Dr.|Y|192159|16
Wiggins|Kermit|Sir|Y|112643|16
Wilbur|Terry|Sir|N|200312|15
Williams|Archie|Mr.|Y|113007|15
Williams|Roger|Dr.|N|62444|16
Willis|James|Mr.|Y|125924|15
Willis|Michael|Sir|Y|207326|15
Wilson|Charles|Mr.|N|60|15
Windham|Goldie|Mrs.|N|26519|15
Woody|Philip|Mr.|N|211173|15
Wright|Nichole|Miss|N|171969|15
Yates|Kimberly|Ms.|N|220849|15
