c_customer_id|c_salutation|c_first_name|c_last_name|c_preferred_cust_flag|c_birth_day|c_birth_month|c_birth_year|c_birth_country|c_login|c_email_address|c_last_review_date_sk|ctr_total_return
AAAAAAAAAAGMHAAA|Dr.|Dorothy|Elliott|N|7|3|1953|TOKELAU|NULL|Dorothy.Elliott@CGnoHov5Q544fCEog.edu|2452478|6529.60
AAAAAAAAAAHEFBAA|Sir|Glen|Davis|Y|28|1|1942|FRANCE|NULL|Glen.Davis@Uqp.edu|2452301|1623.60
AAAAAAAAAAHGIBAA|Sir|Mark|Phillips|N|1|7|1971|MARSHALL ISLANDS|NULL|Mark.Phillips@O0CrDYoy5TG.com|2452462|3858.48
AAAAAAAAAAHJBBAA|Dr.|Doris|Wilson|N|9|1|1992|BERMUDA|NULL|Doris.Wilson@ZBbpelACOZ.com|2452559|2496.00
AAAAAAAAAAHMHAAA|Ms.|Adam|Crisp|Y|28|2|1970|SRI LANKA|NULL|Adam.Crisp@34RI9SZBJcY.edu|2452515|1829.65
AAAAAAAAAAHMHAAA|Ms.|Adam|Crisp|Y|28|2|1970|SRI LANKA|NULL|Adam.Crisp@34RI9SZBJcY.edu|2452515|6011.60
AAAAAAAAAAIBJAAA|Miss|Virgie|Bostic|N|10|11|1989|BOLIVIA|NULL|Virgie.Bostic@4gXtpI.org|2452591|4430.61
AAAAAAAAAAILKBAA|Miss|Marie|Rogers|Y|12|1|1973|WESTERN SAHARA|NULL|Marie.Rogers@Bkg2D5Radlq6nISR4IK.com|2452553|5068.08
AAAAAAAAAAILMBAA|Miss|Sarah|George|N|6|5|1970|MACAO|NULL|Sarah.George@sehjEAIZqA.org|2452377|7979.76
AAAAAAAAAAILMBAA|Miss|Sarah|George|N|6|5|1970|MACAO|NULL|Sarah.George@sehjEAIZqA.org|2452377|9345.60
AAAAAAAAAAJANAAA|Mr.|Steven|Johnson|Y|26|3|1977|SLOVENIA|NULL|Steven.Johnson@ZLFB3iBC9Ei.com|2452604|2318.40
AAAAAAAAAAJNABAA|Dr.|Jonathan|Dennis|Y|7|2|1979|TAJIKISTAN|NULL|Jonathan.Dennis@RpEreUo89.com|2452583|6778.92
AAAAAAAAAAKADBAA|Miss|Rebecca|Gray|N|27|3|1937|FAROE ISLANDS|NULL|Rebecca.Gray@gmo.org|2452531|11707.20
AAAAAAAAAAKAKBAA|Miss|Susanna|Linville|Y|30|4|1949|FRANCE|NULL|Susanna.Linville@C8J2y.com|2452514|2158.40
AAAAAAAAAAKBJBAA|Miss|Caitlin|Manuel|Y|23|11|1959|KUWAIT|NULL|Caitlin.Manuel@H2.org|2452372|4959.50
AAAAAAAAAAKDGBAA|Dr.|Gertrude|Williams|N|19|10|1951|GUATEMALA|NULL|Gertrude.Williams@f4cI.com|2452481|4907.68
AAAAAAAAAAKMOAAA|Miss|Helen|Willis|N|12|4|1977|ALGERIA|NULL|Helen.Willis@eVm1.com|2452318|1892.78
AAAAAAAAAALAAAAA|Mrs.|Marcia|Pepper|N|1|10|1924|PHILIPPINES|NULL|Marcia.Pepper@KG1XqMX.edu|2452326|1991.44
AAAAAAAAAALLABAA|Miss|Deborah|Johnson|Y|13|3|1972|MAURITANIA|NULL|Deborah.Johnson@pvnNO.com|2452331|2306.08
AAAAAAAAAALMCAAA|Mr.|Neil|Chandler|Y|24|1|1960|KIRIBATI|NULL|Neil.Chandler@1BU88q19bY2457.edu|2452553|6659.92
AAAAAAAAAALOKBAA|Dr.|Jonathon|Vaughn|N|19|7|1931|RÉUNION|NULL|Jonathon.Vaughn@kh6641g2cNArL.edu|2452365|3986.28
AAAAAAAAAAMGOBAA|Dr.|Florence|Shoemaker|N|25|1|1976|MARSHALL ISLANDS|NULL|Florence.Shoemaker@iL3Velvrff4s.edu|2452454|4892.00
AAAAAAAAAAMNIAAA|Mrs.|Sanda|Lee|N|30|4|1974|VIET NAM|NULL|Sanda.Lee@GrtT3Z55Xap.org|2452452|1761.75
AAAAAAAAAAMNNAAA|Mr.|Jerry|Irby|Y|24|10|1948|LEBANON|NULL|Jerry.Irby@VLGmsXSSyXmt.edu|2452351|5555.92
AAAAAAAAAANCHBAA|Mr.|Mark|Stanton|Y|19|11|1980|TURKEY|NULL|Mark.Stanton@HC7z9N4Xs.com|2452325|3346.20
AAAAAAAAAANJABAA|Miss|Jennifer|Ferrer|Y|1|1|1947|TUNISIA|NULL|Jennifer.Ferrer@678ltJTdjomvy.org|2452310|2172.94
AAAAAAAAAANLBBAA|Dr.|Art|Solano|Y|8|4|1933|NETHERLANDS|NULL|Art.Solano@aRoNrZUUzC0H4O.edu|2452530|1877.31
AAAAAAAAAAOAEBAA|Dr.|Patrick|Perkins|N|21|1|1959|GABON|NULL|Patrick.Perkins@I3Qtq37OzhQExCZ.org|2452286|2548.58
AAAAAAAAAAOCFAAA|Dr.|Richard|Drake|Y|5|12|1928|TIMOR-LESTE|NULL|Richard.Drake@Ogjfp12eGlaj.org|2452332|6086.00
AAAAAAAAAAOJMAAA|Mr.|Lee|Nelson|N|22|1|1963|DJIBOUTI|NULL|Lee.Nelson@YSnucn7bGaLEsqg.com|2452509|3335.20
AAAAAAAAAAOJMAAA|Mr.|Lee|Nelson|N|22|1|1963|DJIBOUTI|NULL|Lee.Nelson@YSnucn7bGaLEsqg.com|2452509|5414.50
AAAAAAAAAAOKDBAA|Miss|Theresa|Parks|N|30|12|1977|GUERNSEY|NULL|Theresa.Parks@z0klN5.org|2452467|2095.25
AAAAAAAAAAOKDBAA|Miss|Theresa|Parks|N|30|12|1977|GUERNSEY|NULL|Theresa.Parks@z0klN5.org|2452467|2201.10
AAAAAAAAAAONGBAA|Sir|NULL|NULL|NULL|8|NULL|1991|ITALY|NULL|James.Wheeler@pBaQfJUkC2ub.org|NULL|4693.09
AAAAAAAAAAOOKAAA|Mrs.|Debbie|Crenshaw|Y|26|1|1957|POLAND|NULL|Debbie.Crenshaw@yy3yEaxaI46h.edu|2452519|4311.45
AAAAAAAAAAPOIBAA|Dr.|Dusty|Cushman|Y|14|1|1969|COMOROS|NULL|Dusty.Cushman@PQaS9OOTBkOx.com|2452313|6225.99
AAAAAAAAABABFAAA|Sir|John|Roth|N|14|9|1980|INDONESIA|NULL|John.Roth@iKnzTEIJ9HRI.org|2452399|4161.76
AAAAAAAAABADOBAA|Mr.|Leonard|Carmona|N|7|12|1933|SERBIA|NULL|Leonard.Carmona@0Lqhh0x.edu|2452337|7197.58
AAAAAAAAABAHCBAA|Sir|Percy|Smith|N|9|8|1950|ANDORRA|NULL|Percy.Smith@8ZgE.edu|2452526|1588.33
AAAAAAAAABANGBAA|Dr.|Carlos|Mueller|N|16|11|1924|EQUATORIAL GUINEA|NULL|Carlos.Mueller@Q.com|2452512|2329.92
AAAAAAAAABAOPAAA|Miss|Amy|Glenn|Y|16|12|1937|LITHUANIA|NULL|Amy.Glenn@D5ku.org|2452456|3408.81
AAAAAAAAABBAOAAA|Sir|Derek|Christy|N|30|1|1952|ROMANIA|NULL|Derek.Christy@c6LaRAIGrCb.com|2452586|1706.58
AAAAAAAAABBKDAAA|Dr.|James|Greene|N|6|8|1976|ECUADOR|NULL|James.Greene@6SxZZy8opTv.edu|2452551|3537.22
AAAAAAAAABBMIBAA|Dr.|Michael|Lemay|N|19|4|1928|NAURU|NULL|Michael.Lemay@BJQUdrqm.com|2452583|2794.08
AAAAAAAAABBNFBAA|Dr.|Tamara|Guerra|N|23|7|1936|CÔTE D'IVOIRE|NULL|Tamara.Guerra@I1tkqz.org|2452348|3035.67
AAAAAAAAABCAMAAA|Mrs.|Beverly|Washington|N|19|9|1968|MADAGASCAR|NULL|Beverly.Washington@Sb2COKG.edu|2452599|2801.15
AAAAAAAAABCCKBAA|Sir|Woodrow|Quinn|Y|4|4|1963|ALGERIA|NULL|Woodrow.Quinn@3ZPKmaEZ9J.org|2452508|3344.90
AAAAAAAAABCGFAAA|Ms.|Natalie|Kohler|Y|27|1|1992|MALTA|NULL|Natalie.Kohler@IAgG6qLt7H5tZu.com|2452558|1647.00
AAAAAAAAABCNKAAA|Miss|Christine|West|Y|14|7|1970|GAMBIA|NULL|Christine.West@7tAO7q02ngGTCP.edu|2452310|3395.96
AAAAAAAAABCPMAAA|Sir|Edward|Gregory|Y|14|10|1974|SLOVAKIA|NULL|Edward.Gregory@j6aBaHMbKm9n3zsC.com|2452369|3350.88
AAAAAAAAABDAMAAA|Dr.|Paul|Flores|N|23|8|1939|ANTARCTICA|NULL|Paul.Flores@3dakgp4l.com|2452507|2379.52
AAAAAAAAABDCIAAA|Miss|Hildred|Morrow|Y|10|7|1987|UNITED STATES|NULL|Hildred.Morrow@IEENQo.edu|2452644|3298.96
AAAAAAAAABDPAAAA|Dr.|Benjamin|Meier|Y|7|11|1984|IRAQ|NULL|Benjamin.Meier@Xl45R.edu|2452312|1736.04
AAAAAAAAABDPABAA|Sir|James|Barajas|Y|14|2|1936|SERBIA|NULL|James.Barajas@oAyroZine.org|2452531|2341.24
AAAAAAAAABEDKBAA|Mrs.|Kathleen|Delgadillo|Y|14|3|1925|MAYOTTE|NULL|Kathleen.Delgadillo@uqMuMeIjOB46bn3.org|2452564|3690.40
AAAAAAAAABEEJBAA|Dr.|George|Jasso|N|1|9|1972|THAILAND|NULL|George.Jasso@vp0.org|2452335|4323.86
AAAAAAAAABEENAAA|Dr.|Rosa|Meeks|Y|29|10|1928|GABON|NULL|Rosa.Meeks@gT0iHMJi8a.edu|2452487|2103.66
AAAAAAAAABEGAAAA|Miss|So|Gaston|N|27|5|1981|COMOROS|NULL|So.Gaston@jqeBtl9aR.org|2452648|2445.50
AAAAAAAAABEIEAAA|Miss|Linda|Davis|N|22|12|1968|TOGO|NULL|Linda.Davis@CexXsdVR2bp0H8dEn.com|2452537|1681.70
AAAAAAAAABEIHAAA|Miss|Tiffany|Walls|N|21|3|1926|TOKELAU|NULL|Tiffany.Walls@td4yBzduZZ.com|2452468|11273.42
AAAAAAAAABFAMBAA|Ms.|Selina|Sanchez|N|27|9|1933|TURKMENISTAN|NULL|Selina.Sanchez@8J2zxrXj30S.com|2452646|2226.60
AAAAAAAAABFFHBAA|Sir|Christopher|Bailey|N|15|10|1951|AFGHANISTAN|NULL|Christopher.Bailey@t9F6Olr3OuycSOOv.org|2452403|1679.16
AAAAAAAAABFIMAAA|Sir|Joe|Davidson|N|23|11|1987|NAMIBIA|NULL|Joe.Davidson@tD.org|2452529|1739.75
AAAAAAAAABFINAAA|Sir|Douglas|NULL|NULL|27|6|1946|NULL|NULL|Douglas.Jackson@n9RnJ77YNF.org|2452290|1875.02
AAAAAAAAABFKNAAA|Miss|Chrissy|Blankenship|Y|15|4|1940|BRAZIL|NULL|Chrissy.Blankenship@RqdbJrp4uPbARkRl.edu|2452551|2563.20
AAAAAAAAABFPIBAA|Sir|Thomas|Dean|N|24|6|1927|SURINAME|NULL|Thomas.Dean@lEMSHNkTQ8JU.edu|2452558|2106.78
AAAAAAAAABGFOBAA|Sir|Michael|Ivy|Y|10|5|1928|VANUATU|NULL|Michael.Ivy@Sf4L9pd7xDcy.com|2452627|2921.05
AAAAAAAAABHEDAAA|Dr.|Brenda|Silva|Y|5|4|1961|COSTA RICA|NULL|Brenda.Silva@i2VNjmMT1.com|2452302|2830.50
AAAAAAAAABIKBBAA|Ms.|Helen|Kolb|N|11|4|1931|FINLAND|NULL|Helen.Kolb@gT.com|2452386|4616.64
AAAAAAAAABIOBAAA|NULL|Marylou|Nichols|NULL|15|NULL|1945|NULL|NULL|Marylou.Nichols@roHL09vtZnQXh.com|NULL|2462.00
AAAAAAAAABJHCAAA|Dr.|Helen|Russell|Y|8|1|1951|LIECHTENSTEIN|NULL|Helen.Russell@0A.org|2452311|2057.30
AAAAAAAAABJPBAAA|Mr.|Quintin|Morgan|Y|29|8|1975|KAZAKHSTAN|NULL|Quintin.Morgan@af9zyLKBP3pmSOG.edu|2452553|2696.52
AAAAAAAAABKKEAAA|Mrs.|Hazel|Woodall|Y|21|1|1988|NIUE|NULL|Hazel.Woodall@MNs.org|2452520|5403.00
AAAAAAAAABLBCAAA|Sir|Jack|Hansen|Y|25|5|1943|JAMAICA|NULL|Jack.Hansen@XlM8ByDZnTb.edu|2452298|1932.54
AAAAAAAAABLMLBAA|Mr.|Earl|Smith|N|22|6|1949|ECUADOR|NULL|Earl.Smith@t2iuc9Py.com|2452633|1669.80
AAAAAAAAABLOJBAA|Mr.|Alfred|Wilson|Y|5|10|1952|NICARAGUA|NULL|Alfred.Wilson@jr.com|2452600|2809.44
AAAAAAAAABMDMAAA|Mr.|Mark|Jung|N|18|11|1972|ANTIGUA AND BARBUDA|NULL|Mark.Jung@pU5hU2F7oO1p.org|2452291|7844.06
AAAAAAAAABMKMBAA|Ms.|Andrea|Carson|N|17|11|1945|CAMBODIA|NULL|Andrea.Carson@iFQ5q9.org|2452313|1884.62
AAAAAAAAABMKMBAA|Ms.|Andrea|Carson|N|17|11|1945|CAMBODIA|NULL|Andrea.Carson@iFQ5q9.org|2452313|7084.05
AAAAAAAAABNEDAAA|Miss|Terese|Rogers|Y|7|3|1977|CUBA|NULL|Terese.Rogers@B2DvHpu5i.org|2452552|5193.84
AAAAAAAAABNMIAAA|Ms.|Roberta|Gunn|Y|1|2|1924|ARUBA|NULL|Roberta.Gunn@FuG9deooNx.edu|2452607|4718.67
AAAAAAAAABNPHAAA|Mr.|Gregory|South|Y|13|10|1988|MACAO|NULL|Gregory.South@ZC9ov9fNUYl.edu|2452475|1619.00
AAAAAAAAABOAIAAA|Dr.|Steve|Mcclain|N|5|11|1964|SAUDI ARABIA|NULL|Steve.Mcclain@TohZHBCsclR3hxlk0.edu|2452557|3316.73
AAAAAAAAABODHAAA|Dr.|Columbus|Banks|Y|9|4|1961|UKRAINE|NULL|Columbus.Banks@e41GPimRR55ZrOkNvFIf.edu|2452619|5225.97
AAAAAAAAABOELAAA|Sir|NULL|Kelly|NULL|1|1|1985|NEW ZEALAND|NULL|NULL|2452505|3066.12
AAAAAAAAABOFHBAA|Mr.|William|Wade|N|5|1|1933|MONGOLIA|NULL|William.Wade@Oyf.org|2452432|10097.10
