c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|extended_price|extended_tax|list_price
NULL|NULL|Woodlawn|Greendale|1105119|22952.02|790.90|46390.12
NULL|NULL|Mount Pleasant|Woodlawn|1155820|20393.87|451.27|40395.15
NULL|NULL|Unionville|Glendale|1163786|11382.87|175.75|19182.71
NULL|Mark|Oak Hill|Oak Ridge|1182877|24148.87|1490.86|33328.49
NULL|NULL|Spring Hill|Lakeview|1247183|11828.80|644.21|37660.13
NULL|Kristen|Shiloh|Red Hill|1259680|13394.38|783.39|40795.55
NULL|Mildred|Greenwood|Brownsville|1266199|24347.39|865.24|48102.07
NULL|NULL|Clearwater|Newport|1294548|26235.96|1524.64|42417.48
NULL|NULL|Bethel|Sunnyside|1298026|15722.23|499.29|24812.05
NULL|NULL|Marion|Brentwood|1404356|22862.33|1021.02|44070.46
NULL|NULL|Woodville|White Oak|1413174|15234.69|691.45|40237.91
NULL|NULL|Springfield|Roscoe|1422742|25738.74|1333.76|50910.95
NULL|Jerome|White Oak|Marion|1466057|6120.90|170.27|17893.60
NULL|Tammy|Stringtown|Oak Grove|1491356|16496.65|680.45|28145.70
NULL|NULL|Smith|Watkins|1522418|15153.04|501.74|41949.91
NULL|Joseph|Pleasant Hill|Newtown|1553501|38763.92|1346.61|72389.37
NULL|Russell|Five Points|Fairfield|1590745|7001.89|400.53|14133.15
NULL|Patrick|Martinsville|Franklin|1645332|9631.37|502.04|38943.67
NULL|NULL|Jamestown|Midway|1648568|14790.63|586.78|27146.38
NULL|William|Unionville|Greenwood|1653995|14740.46|496.85|23190.19
NULL|Rosemarie|Frogtown|Fairview|1693999|19528.38|707.99|36837.28
NULL|Mabel|Waterloo|Centerville|1762398|27745.13|1012.19|47621.27
NULL|Tera|Forest Hills|Pleasant Valley|1801123|37994.14|2013.73|75780.13
NULL|NULL|Green Acres|Liberty|1812665|8494.99|387.44|21302.04
NULL|NULL|Lakewood|Payne|1823916|37877.61|949.40|56940.10
NULL|Stephanie|Oak Hill|Five Forks|1838084|28398.98|977.50|74687.61
NULL|Phillip|Springdale|Oneida|1890574|36438.90|1872.48|67080.65
NULL|NULL|Newtown|Lakeside|1892643|3860.82|213.99|15599.78
NULL|NULL|Bunker Hill|Kingston|1901056|26490.23|428.92|48586.81
NULL|Stephanie|Millbrook|Hillcrest|1903052|25430.45|1511.15|41452.16
NULL|NULL|Bath|Kingston|1962329|12707.61|639.42|25559.03
NULL|NULL|Brownsville|Shady Grove|1979039|18670.32|920.62|40961.37
NULL|James|Florence|Oak Hill|1988789|17934.67|951.43|41964.10
NULL|Francis|Hopewell|Five Forks|1991276|26801.32|1218.68|52493.48
NULL|Andre|Georgetown|Newport|2010779|13118.46|844.66|32368.77
NULL|NULL|Mount Pleasant|Norton|2026730|35123.27|1407.66|72218.04
NULL|NULL|Oak Ridge|Centerville|2030421|14583.65|732.11|19886.09
NULL|John|Guilford|Lake Forest|2037011|28581.37|1012.74|55809.74
NULL|NULL|Glendale|Lebanon|2056798|16444.70|1117.63|50952.23
NULL|Julius|Fairfield|Hopewell|2059426|5762.91|234.86|19417.60
NULL|NULL|Wayland|Marion|2065553|34666.63|1225.36|62104.57
NULL|Melissa|Buena Vista|Mount Pleasant|2085841|29635.10|830.24|59763.48
