c_last_name|c_first_name|ca_city|bought_city|ss_ticket_number|extended_price|extended_tax|list_price
NULL|Jessica|Birmingham|Pleasant Valley|593115|15331.66|676.60|40231.28
NULL|Norman|Farmington|Lakewood|614756|19597.56|539.92|33508.61
NULL|Drew|Welcome|Woodlawn|625732|6416.13|270.75|26190.68
NULL|NULL|Riceville|Union|631177|18473.31|804.06|38419.12
NULL|NULL|Oakwood|Shiloh|649123|22697.20|503.69|42943.92
NULL|Marya|New Hope|Five Forks|659184|44292.46|1155.82|71853.16
NULL|Ruby|Midway|Springfield|668546|26442.35|1069.89|51953.68
NULL|Dick|Hamilton|Mount Vernon|684460|8192.79|207.94|16164.57
NULL|Emily|Cedar Grove|Maple Grove|684742|20995.70|951.81|37264.92
NULL|NULL|Ashland|Pleasant Grove|707093|9043.27|510.00|31725.98
NULL|Kevin|Little River|Waterloo|711421|23416.23|1296.26|42195.56
NULL|NULL|Macedonia|Riverview|724229|14943.90|448.63|36541.62
NULL|NULL|Riverside|Unionville|735978|7375.70|197.18|27095.22
NULL|Gerald|Brownsville|Summit|738644|15976.95|563.63|32392.01
NULL|NULL|Glendale|Woodville|739824|14606.50|1101.19|29438.29
NULL|Barbara|Bunker Hill|Sunnyside|755958|19696.28|1200.79|32511.32
NULL|Mellissa|Union Hill|Woodville|763423|19061.94|872.33|56539.82
NULL|NULL|Unionville|New Hope|796168|30336.99|2074.57|63141.78
NULL|NULL|New Hope|Mount Zion|798385|29471.22|1023.15|47111.34
NULL|NULL|Bethel|Morris|799572|26605.52|546.97|51835.78
NULL|NULL|Ashland|Union Hill|811228|28634.77|1375.75|45876.38
NULL|NULL|Marion|Buena Vista|815396|6289.71|438.44|28450.05
NULL|NULL|Harmony|Mount Vernon|817488|13395.52|352.92|26818.82
NULL|Grace|Oak Ridge|Valley View|854034|17575.18|711.16|27053.71
NULL|Michelle|Mount Vernon|Wildwood|869693|23963.64|1107.29|43509.14
NULL|NULL|Pleasant Hill|Cedar Grove|883578|41383.37|1270.91|60093.14
NULL|Adalberto|Mount Olive|Riverview|886642|14183.11|656.88|22555.31
NULL|John|Shiloh|Sheffield|888199|17972.50|606.12|42891.42
NULL|Justin|Hopewell|Oak Grove|891440|27154.52|824.79|45833.00
NULL|NULL|Midway|Allison|902966|42330.92|2150.82|87132.51
NULL|NULL|Sunnyside|Deerfield|906953|18824.04|350.39|33959.77
NULL|Brenda|Waterloo|Buena Vista|944637|7561.53|147.46|16597.05
NULL|NULL|Franklin|Farmington|949168|24176.40|1382.07|43908.46
NULL|NULL|Deerfield|Lebanon|957717|32232.42|822.14|66068.66
NULL|Terry|Pleasant Valley|Plainview|960263|40008.98|1627.42|58656.40
NULL|NULL|Green Acres|Proctor|964240|17076.73|560.91|27637.24
